date,bitcoin,ethereum,tether,binance-usd,solana,usd-coin,ripple,dogecoin,cardano,shiba-inu
2015-06-02,32062237.05772561,0.0,28123.0,0.0,0.0,0.0,491307.5514289878,799033.5848853521,0.0,0.0
2015-06-03,30472196.11636243,0.0,49109.0,0.0,0.0,0.0,392910.0969218898,406127.51531856926,0.0,0.0
2015-06-04,29003069.45899297,0.0,24955.0,0.0,0.0,0.0,223350.12181716276,27698.00575001147,0.0,0.0
2015-06-05,32252691.587104306,0.0,116.0,0.0,0.0,0.0,190979.01802383608,145815.0944834938,0.0,0.0
2015-06-06,18238445.735281847,0.0,42.0,0.0,0.0,0.0,108435.737115515,143737.1145017458,0.0,0.0
2015-06-07,24133822.46700492,0.0,1547.0,0.0,0.0,0.0,86381.1970594653,23974.735460098607,0.0,0.0
2015-06-08,40449914.18863471,0.0,0.0,0.0,0.0,0.0,221057.72733733736,130165.2381174552,0.0,0.0
2015-06-09,36746856.38036806,0.0,179.0,0.0,0.0,0.0,205195.0137486027,204757.16519792372,0.0,0.0
2015-06-10,29194036.77178708,0.0,45685.0,0.0,0.0,0.0,252996.9554103254,168557.2413735295,0.0,0.0
2015-06-11,28833233.41266869,0.0,335.0,0.0,0.0,0.0,194272.22848790255,116433.66717167554,0.0,0.0
2015-06-12,29722314.84944637,0.0,50025.0,0.0,0.0,0.0,134384.3294400208,106598.39865445372,0.0,0.0
2015-06-13,29012321.272587787,0.0,13601.0,0.0,0.0,0.0,79009.07499888653,193564.7747682336,0.0,0.0
2015-06-14,35303170.71466479,0.0,1353.0,0.0,0.0,0.0,313424.3346507637,296797.0832401707,0.0,0.0
2015-06-15,46839294.423419096,0.0,240065.0,0.0,0.0,0.0,640139.2901228141,142225.01927606598,0.0,0.0
2015-06-16,96364192.87222852,0.0,226186.0,0.0,0.0,0.0,1506339.8062601946,744821.1004519531,0.0,0.0
2015-06-17,100630046.35212404,0.0,7802.0,0.0,0.0,0.0,1039075.195995389,1400337.4461896322,0.0,0.0
2015-06-18,67360540.67947954,0.0,33422.0,0.0,0.0,0.0,1095829.868205608,736657.9371267031,0.0,0.0
2015-06-19,60767655.66479779,0.0,2568.0,0.0,0.0,0.0,1169680.848364605,852936.8421799127,0.0,0.0
2015-06-20,55692672.67481887,0.0,11351.0,0.0,0.0,0.0,661354.583108703,624620.909753824,0.0,0.0
2015-06-21,26531885.0527446,0.0,393.0,0.0,0.0,0.0,547535.7042655629,319909.1623343685,0.0,0.0
2015-06-22,41166801.74969953,0.0,368.0,0.0,0.0,0.0,478476.16880680615,33402.28040030633,0.0,0.0
2015-06-23,37387508.430996,0.0,20006.0,0.0,0.0,0.0,483624.1640971373,262991.1426112917,0.0,0.0
2015-06-24,39616260.29622073,0.0,231885.0,0.0,0.0,0.0,632116.8584353211,267988.9511419275,0.0,0.0
2015-06-25,34244051.08008979,0.0,468361.0,0.0,0.0,0.0,324267.8419819733,302219.00000447984,0.0,0.0
2015-06-26,34005665.062683985,0.0,1895.0,0.0,0.0,0.0,317239.1558878228,171450.64140036638,0.0,0.0
2015-06-27,49080095.21505225,0.0,2313.0,0.0,0.0,0.0,238725.857364381,306811.44584601733,0.0,0.0
2015-06-28,40522516.655076645,0.0,668371.0,0.0,0.0,0.0,236274.61742882687,232596.09595616505,0.0,0.0
2015-06-29,73197757.00524,0.0,673.0,0.0,0.0,0.0,807664.6715157937,324065.24258074065,0.0,0.0
2015-06-30,99893250.06832576,0.0,373659.0,0.0,0.0,0.0,871943.7893745872,416142.75686447584,0.0,0.0
2015-07-01,68104997.64448473,0.0,101760.0,0.0,0.0,0.0,465278.467174968,41437.67597360074,0.0,0.0
2015-07-02,52711167.62687749,0.0,10028.0,0.0,0.0,0.0,393946.473961199,20066.350527819905,0.0,0.0
2015-07-03,42339288.96608291,0.0,1416.0,0.0,0.0,0.0,230127.83104942727,27820.235309893375,0.0,0.0
2015-07-04,42932957.07889688,0.0,13017.0,0.0,0.0,0.0,118457.52390386348,141087.2128405995,0.0,0.0
2015-07-05,96139966.48557808,0.0,1546.0,0.0,0.0,0.0,676856.6171352215,55499.39494287265,0.0,0.0
2015-07-06,111884711.197357,0.0,652762.0,0.0,0.0,0.0,803356.1205047129,417008.3104436281,0.0,0.0
2015-07-07,64748934.30717278,0.0,10778.0,0.0,0.0,0.0,589050.5505818891,233202.25024821525,0.0,0.0
2015-07-08,79366281.26047984,0.0,32117.0,0.0,0.0,0.0,794429.9023055588,338870.5507543833,0.0,0.0
2015-07-09,75940632.19947487,0.0,143.0,0.0,0.0,0.0,889491.4027360365,137571.71434810807,0.0,0.0
2015-07-10,113799594.1409435,0.0,1421.0,0.0,0.0,0.0,1265392.3620378647,1464157.32462612,0.0,0.0
2015-07-11,114394387.16569844,0.0,1680.0,0.0,0.0,0.0,387291.1748615453,406779.090647478,0.0,0.0
2015-07-12,115546321.240178,0.0,2998.0,0.0,0.0,0.0,332866.4367087934,61355.99942819701,0.0,0.0
2015-07-13,130058766.78659292,0.0,1175.0,0.0,0.0,0.0,786414.0068752549,337402.9344045083,0.0,0.0
2015-07-14,74446013.37027897,0.0,241933.0,0.0,0.0,0.0,699160.2101063295,308839.7360797644,0.0,0.0
2015-07-15,52932167.70111447,0.0,31367.0,0.0,0.0,0.0,488721.9921842279,192358.41912170604,0.0,0.0
2015-07-16,97423601.54430674,0.0,2859.0,0.0,0.0,0.0,753474.6619551496,82033.43334689437,0.0,0.0
2015-07-17,60573486.78209071,0.0,691649.0,0.0,0.0,0.0,294920.79399955174,152940.42089189173,0.0,0.0
2015-07-18,52505422.1849008,0.0,56204.0,0.0,0.0,0.0,66432.12918752592,26558.889139059065,0.0,0.0
2015-07-19,26896009.893020075,0.0,1087.0,0.0,0.0,0.0,82839.01838655573,153786.07780694286,0.0,0.0
2015-07-20,40729476.38113304,0.0,1733.0,0.0,0.0,0.0,275845.44185073016,112013.29575767246,0.0,0.0
2015-07-21,43239135.22644978,0.0,1243.0,0.0,0.0,0.0,508798.34579634905,20195.559173101585,0.0,0.0
2015-07-22,43240737.35047461,0.0,548.0,0.0,0.0,0.0,346426.4108776183,277774.3163895133,0.0,0.0
2015-07-23,34164576.518917255,0.0,1214.0,0.0,0.0,0.0,164563.0460961247,153591.49488562942,0.0,0.0
